source,target
2457970517,6184984212
5528169381,6560020707
2269384997,3248438592
2269384997,6184984212
5470323226,3248438592
5470323226,6184984212
5470323226,6329420338
5470323226,5661672527
5294095854,6560020707
1692294672,1757022731
1692294672,6560020707
2244665150,6329420338
2244665150,6560020707
5561527755,6184984212
5561527755,6560020707
6354970358,6560020707
5128565126,6560020707
5964296835,6118252170
5964296835,3248438592
5964296835,6329420338
5139438909,6560020707
2635902061,6184984212
5384920771,3248438592
5384920771,6560020707
5342001509,5687345122
5342001509,6184984212
5342001509,1769985142
5342001509,5661672527
2692413807,6184984212
5813746078,3248438592
5813746078,6184984212
2832014233,2327020742
2832014233,6560020707
2832014233,1769985142
2832014233,5661672527
5874119946,3248438592
1804065341,6184984212
5063256764,3248438592
5063256764,6184984212
5063256764,6560020707
5063256764,6314120663
6562187488,3248438592
6562187488,6184984212
2691830053,6184984212
2691830053,6560020707
6554878891,3248438592
6554878891,6329420338
1874582262,6184984212
3303856007,5661672527
6326663190,6184984212
2671931154,6329420338
2671931154,6560020707
2671931154,1769985142
2671931154,6314120663
3290926673,6329420338
3988428049,6184984212
1169381483,3248438592
1169381483,6329420338
1169381483,5994655372
2700354614,3248438592
2700354614,6329420338
2700354614,6560020707
5729705261,6184984212
5579745967,6399602544
5579745967,6560020707
6560550581,3248438592
6560550581,6184984212
6560550581,6560020707
6559067136,6184984212
6120942802,6184984212
6120942802,6329420338
5287636878,3248438592
5843869785,3248438592
5843869785,6329420338
5883469057,6083427453
5883469057,1769985142
6344693347,3248438592
1244592885,6184984212
1244592885,6329420338
1748272030,6560020707
5609059140,6184984212
5073430835,3248438592
5114635286,3248438592
5114635286,6184984212
2343141854,6184984212
2343141854,6560020707
5128872444,6184984212
2179842047,6560020707
6512822773,6184984212
6512822773,6329420338
6512822773,5661672527
6512822773,1749937787
5715817508,3248438592
5715817508,6184984212
5715817508,6329420338
2282697702,6184984212
6472813339,3248438592
6472813339,6560020707
6418693937,3248438592
6418693937,6184984212
6418693937,6560020707
5975203986,1769985142
5975203986,1825329153
5975203986,1749937787
5478776717,3248438592
5478776717,6184984212
5478776717,6560020707
5609230674,1749937787
5409975403,3248438592
5409975403,6329420338
5409975403,6560020707
6544433125,6184984212
2036054700,6184984212
2036054700,6329420338
3026597955,3248438592
3026597955,6184984212
3026597955,6560020707
5634227279,3248438592
5634227279,6329420338
5634227279,6560020707
5634227279,5661672527
5230093193,6560020707
5559436493,6560020707
6532420166,3248438592
6532420166,6560020707
2686443643,6560020707
3966108321,6560020707
5306774213,5644527212
2482689645,5644527212
6118252170,5964296835
2731882381,6317438344
5874119946,1828049990
2834180502,5087587741
2885935325,1757022731
2327020742,2832014233
3926266876,6124171956
6317438344,2731882381
5541597898,2731882381
5705255535,2671931154
6023835758,6118252170
2834180502,6012996501
6012996501,1795314733
6081148107,5878963153
