source,target
6536261494,6560020707
2266112811,6560020707
1803707317,3248438592
1803707317,6184984212
1803707317,5661672527
6085669191,6560020707
5308974004,6314120663
5383370073,3248438592
5237691639,1825329153
5215843807,6184984212
1254237111,6184984212
6443252678,1825329153
6523225221,3248438592
6523225221,6184984212
5645718480,6560020707
3254601810,6560020707
6001468485,6184984212
6501138256,3248438592
6501138256,6560020707
5679130143,1769985142
6460304978,3248438592
6460304978,6184984212
5940037545,3248438592
5161213775,3705416915
5161213775,6560020707
1244592885,6184984212
1244592885,6329420338
6519235026,3248438592
6519235026,6560020707
2343141854,6184984212
2343141854,6560020707
2343141854,5661672527
3927227901,3248438592
5343495993,1769985142
3826572525,5224074997
6560547879,1769985142
6538517471,3248438592
6538517471,6329420338
6538517471,6314120663
5949939620,3248438592
3585170375,6560020707
6571394813,3248438592
6571394813,6184984212
6571394813,6329420338
6571394813,6314120663
3242533050,3248438592
2672697663,6329420338
5587289196,6184984212
5587289196,6314120663
6460461730,3248438592
5936600094,3248438592
5936600094,6184984212
6569380079,3248438592
3986376265,3248438592
3986376265,6184984212
1932412581,6184984212
1932412581,6329420338
5862985509,3248438592
5862985509,6329420338
5862985509,6560020707
3219392857,6184984212
3219392857,6329420338
3219392857,5661672527
5984985084,1769985142
6571678233,3248438592
6571678233,1749937787
6568472512,1825329153
5630933218,6560020707
1765500693,3248438592
5898524741,1825329153
3100471073,3248438592
2146320400,3248438592
2499376905,6329420338
2499376905,6560020707
6570827889,6184984212
6571411610,1825329153
5249242749,3248438592
6569037681,3248438592
6569037681,6560020707
6169230407,3248438592
6418917186,5239573776
5863704048,3248438592
5863704048,6184984212
6505404230,6184984212
6487984791,3248438592
6487984791,6184984212
6488132984,3248438592
6488132984,6184984212
6488132984,6329420338
6488132984,6560020707
6488132984,1769985142
6488132984,1825329153
6050159036,3248438592
6050159036,1749937787
5712827009,1749937787
6387681538,3248438592
6387681538,6184984212
6387681538,1825329153
6557194065,3248438592
6539128238,3248438592
6539128238,6314120663
5838086741,3248438592
6300602793,6560020707
5280245880,3248438592
5280245880,6184984212
5872561964,3248438592
5872561964,6560020707
5872561964,6314120663
6558623929,3248438592
5913565833,3248438592
5401141414,6184984212
5401141414,1825329153
5830736139,6560020707
5698574533,6560020707
6019464487,6560020707
6049097982,3248438592
6049097982,6560020707
3629215554,3248438592
1743396267,6329420338
2526562574,3248438592
6568250164,6560020707
1823095265,1769985142
1823095265,1749937787
6208444912,3248438592
6208444912,6184984212
6208444912,6329420338
6208444912,1825329153
6524230080,3248438592
6524230080,6560020707
6524230080,6314120663
6442429615,3248438592
6442429615,1749937787
5984171153,3248438592
5984171153,6184984212
5984171153,6329420338
5984171153,6560020707
5984171153,1769985142
5984171153,1825329153
5984171153,6314120663
5265054891,6184984212
5265054891,1825329153
6466165903,6448546090
5975108540,1749937787
6488009160,6329420338
5531500542,1769985142
5531500542,1825329153
5283682792,3248438592
5283682792,6314120663
3269475261,3248438592
3269475261,6560020707
2573408210,6448546090
2573408210,6560020707
6285108977,3248438592
6285108977,6560020707
6562026939,3248438592
6473032670,6184984212
6361702252,3248438592
3700610714,3248438592
3700610714,6329420338
6388239250,1825329153
3413571740,1769985142
6130905565,6448546090
6563882774,3248438592
6563882774,6314120663
6263768071,3248438592
6263768071,6314120663
6563172156,1769985142
6563172156,1825329153
6166295151,6184984212
6166295151,6560020707
2405673707,3248438592
2405673707,6329420338
2405673707,6560020707
5224074997,6329420338
2173126505,6329420338
2173126505,6560020707
6562897066,3248438592
1941237823,3248438592
1941237823,6314120663
1841984340,6329420338
5992973809,6560020707
6126746854,3248438592
6126746854,6560020707
6246917883,1749937787
6563208003,6183130944
3670882553,6314120663
5453571987,3248438592
5453571987,1769985142
1820076912,6184984212
1820076912,5661672527
3010014477,6560020707
2280797455,3248438592
2280797455,6560020707
5127289561,1749937787
5966692895,3248438592
5532382155,3264970114
6389509573,3248438592
6389509573,1825329153
5701999903,3248438592
6296002409,3248438592
6508378309,3248438592
5869958163,6329420338
6560805507,6314120663
2334213500,2643498503
2334213500,3248438592
2334213500,6560020707
2334213500,1769985142
2334213500,1825329153
2334213500,5661672527
5461519422,3248438592
5461519422,6184984212
5461519422,6329420338
5461519422,6560020707
5461519422,1769985142
5461519422,1825329153
5461519422,1749937787
6312825397,6560020707
3968776309,3248438592
3968776309,6184984212
6491413444,3248438592
6491413444,6314120663
2741617231,3248438592
3831432455,3248438592
2162715847,6548718355
2162715847,6184984212
3768722741,3248438592
5840297664,3248438592
2810972133,3248438592
2810972133,6184984212
2810972133,6560020707
6559405394,3248438592
6559405394,6329420338
6559405394,6560020707
3946425438,6329420338
3946425438,6560020707
6538803519,6329420338
5957451952,3248438592
5144753834,6184984212
5144753834,1825329153
6348656108,6184984212
3616285114,3248438592
6559468436,3248438592
6559468436,6184984212
3315807405,3248438592
3315807405,6329420338
3315807405,6560020707
1786230022,6184984212
6205348613,6448546090
6205348613,3248438592
6205348613,1825329153
6205348613,1749937787
6142994811,3248438592
6142994811,1825329153
5656745522,1825329153
6327661866,3248438592
